Product_name,Brand_name,Ingredients
"Split Green Gram (80%), Edible Vegetable Oil (Palmolein Oil, Cottonseed Oil), Iodised Salt, Acidity Regulator (INS 330)",Bikaji,"Edible Vegetable Oil (Palmolein Oil and/or Cottonseed Oil), Split Chickpea (30%), Whole Lentils (12%), Peanuts (8%), Dried Potato Slice (4%), Rice Flakes (3%), Gram Flour, Dew Bean Flour (Moth Flour), Tapioca Starch, Dehydrated Potato Flakes, Iodised Salt, Ground Spices & Condiments (Red Chilli, Turmeric (Colouring & Spice), Cumin, Ginger, Black Pepper, Cardamom,"
Punjabi Tadka,Bikaji,"Edible Vegetable Oil (Palmolein Oil And/Or Cottonseed Oil), Dehydrated Potato Flakes (21.4%), Gram Flour, Dew Bean Flour (Moth Flour), Tapioca Starch, Ground Spices & Condiments (Iodised Salt, Dry Mango, Chili, Ginger, Black Pepper, Cardamom, Clove, Turmeric (Colouring & Spices)), Tomato Powder, Onion Powder, Garlic Powder, Black Salt, Mace, Nutmeg,"
Chicken Nuggets,Yummiez Godrej ,"Chicken Meat (52%), Water, Breadcrumbs {Wheat Flour, Yeast, Salt, Permitted Bread Improvers, Preservative (INS 282) And Acidity Regulator (INS260)}, Edible Vegetable Oil (RBD Palmolein), Batter {Wheat Flour, Corn Flour, Corn Starch, Salt And Emulsifier (INS 466)}, Soy, Isolated Soy Protein, Iodized Salt, Spices & Condiments And Texturizer (INS 451(i))"
Chicken Pepper & Herb Sausages,,"Chicken Meat, Water, Seasoning, Starch, Refined Wheat Flour, Maltodextrin, Acidity Regulator, Antioxidant, Soy Protein"
Chicken Party Pack,Yummiez Godrej ,"Chicken Meat (52%), Water, Breadcrumbs {Wheat Flour, Yeast, Salt, Permitted Bread Improvers, Preservative (INS 282) And Acidity Regulator (INS260)}, Edible Vegetable Oil (RBD Palmolein), Batter (Wheat Flour, Corn Flour, Corn Starch, Salt And Emulsifier (INS 466)), Soy, Isolated Soy Protein, Iodized Salt, Spices & Condiments And Texturizer (INS 451(i))., Chicken Meat (52.7%), Water, Breadcrumbs {Wheat Flour, Yeast, Salt, Permitted Bread Improvers, Preservative (INS 282) And Acidity Regulator (INS 260)}, Edible Vegetable Oil (Refined Palmolein Oil), Batter (Wheat Flour, Corn Flour, Corn Starch, Salt And Emulsifier (INS 466)), Seasoning (Garlic (1.9%), Onion, Salt, Spices, Herbs & Spice Extracts), Soy Protein, Iodized Salt, White Pepper And Texturizer (INS 451(i))., Chicken Meat (58%), Water, Breadcrumbs {Wheat Flour, Yeast, Salt, Permitted Bread Improvers, Preservative (INS 282) And Acidity Regulator (INS 260)}, Batter {Wheat Flour, Corn Flour, Corn Starch, Salt And Emulsifier (INS 466)}, Edible Vegetable Oil (Refined Palmolein Oil), Soy Protein, Texturized Soy Protein, Iodized Salt, Dextrose, Garlic, White Pepper, Black Pepper And Lemon Juice."
pice Mix - Mutter Paneer,Suhana ,"Onion, Cashew Nuts, Milk Solids, Salt, Sugar, Coriander, Garlic, Corn Starch, Chilli, Cumin, Turmeric, Tomato Powder, White Pepper, Dry Ginger, Fennel, Star anise, Bayleaf, Clove, Green Cardamom, Cassia."
Paneer Tikka Masala Mix,Suhana ,"Onion, Cashew Nut, Common Salt, Chilli, Milk Solids, Sugar, Tomato Powder, Garlic, Coriander, Dry Fenugreek Leaves, Cornstarch, Dry Ginger, Cumin, Green Cardamom, Cassia Bark (Taj), Clove, Black Pepper, Nutmeg, Bay Leaf, Paprika, Turmeric, Mace, Caraway, Refined Cottonseed Oil"
Spice Mix - Chicken Gravy,Suhana ,"Onion, Garlic, Ginger, Refined Sunflower Oil, Common Salt, Chilli, Coconut, Coriander, Tomato, Mint Leaves, Cornstarch, Turmeric, Fennel Seeds, Black Pepper, Lemon, Caraway, Cumin, Green Cardamom, Cassia Bark (Taj), Bay Leaf, Clove, Black Cardamom, Nutmeg, Mace"
Spice Mix - Mutton Gravy,Suhana ,"Onion, Garlic,Ginger, Refined Sunflower Oil, Coconut, Common Salt, Chilli, Sesame, Coriander, Cornstarch, Tomato, Black Cardamom, Caraway, Fennel, Cassia Bark ( Taj), Clove, Star Anise, Black Pepper, Turmeric,Bayleaf, Lichen, Mint Leaves, Mace, Nutmeg"
Farmlite Biscuit - Cookies - Oats & Chocolat,SunFeast,"Farmlite Oats & Chocolate is a range of wholesome biscuits made from the grains sourced from the finest farm of India. Along with the goodness of grains, it is packed with super healthy and tasty ingredients like wheat chocolate that provide balanced nutrition along with a rich tasty experience. A perfect cookie for your everyday chai moments or those sudden hunger pangs"
Marie Light Active Biscuits,SunFeast,"Refined wheat flour (Maida) (66.6%), Sugar, Refined palm oil, Invert syrup, Milk solids, Raising agents (INS 503 (ii), INS 500 (ii)), Iodized salt, Nature identical flavouring substances, Flour treatment agent (INS 223), Emulsifier (Diacetyltartaric and fatty acid esters of glycerol (from refined sunflower oil and palm oil)), Artificial flavouring substances (Milk, Vanilla), Mineral"
Dark Fantasy Bourbon Classic Chocolate Biscuits,SunFeast,"Maida (Refined Wheat Flour), Sugar (32.8%), Refined Palm Oil, Colours [Ins 150A, Ins 150C, Ins 150D, Ins 129], Starch, Cocoa Solids (2.3%), Milk Solids, Raising Agents [Ins 503(Ii), Ins 500(Ii), Ins 450(I)], Artificial Flavouring Substances (Vanilla, Chocolate), Emulsifiers [Mono- And Di-Glycerides Of Fatty Acids (From Palm Oil), Lecithin (From Soyabean)], Plain Chocolate"
Dark Fantasy Coconut & Hazelnut Macaroon Fills Biscuit,SunFeast,"White Creme (25.9%) {Sugar, Refined Palm Oil, Milk Solids, Cocoa Butter, Emulsifier [Lecithin (from Soyabean)], Anhydrous Milk Fat, Iodised Salt, Nature-Identical Flavouring Substance (Vanilla)}, Desiccated Coconut (21.8%), Maida (Refined Wheat Flour), Choco Hazelnut Crème (11.0%) {Sugar, Refined Palmolein, Cocoa Solids (15.0%), Hazelnut Paste (4.0%), Emulsifier"
Dark Fantasy - Yumfills Pie,SunFeast,"REFINED WHEAT FLOUR (MAIDA), MILK CHOCO COVERING (22.9%) {SUGAR, INTERESTERIFIED VEGETABLE FAT, MILK SOLIDS (2.75%), COCOA SOLIDS (1.37%), HYDROGENATED VEGETABLE OILS, ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)}, SUGAR, LIQUID GLUCOSE, REFINED PALMOLEIN, HUMECTANT (INS 422)"
Farmlite Oats & Almonds Cookies,SunFeast,"Wheat Flour (Atta) (35.3%), Rolled Oats (21.2%), Refined Palm Oil, Sugar, Liquid Glucose, Almond Bits (3.2%), Raising Agents [Ins 503(Ii), Ins 500(Ii), Ins 450(I)], Maltodextrin, Invert Syrup, Milk Solids, Lodized Salt, Artificial Flavouring Substances (Milk, Vanilla), Emulsifier [Lecithin (From Soyabean)], Nature Identical Flavouring Substances"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
